cod_usuario,data_cadastro,faixa_etaria,cidade,estado
34654,03/09/2018,Entre 62 a 70 anos,Tomé-Açu,Pará
34659,21/11/2018,Entre 62 a 70 anos,Lavras do Sul,Rio Grande do Sul
34858,15/10/2020,Entre 10 a 15 anos,Paulista,Pernambuco
34881,23/01/2021,Entre 62 a 70 anos,Joanópolis,São Paulo
34924,26/05/2020,Entre 10 a 15 anos,Urupá,Rondônia
34958,05/09/2018,Entre 62 a 70 anos,Formoso,Minas Gerais
34976,11/02/2019,Entre 10 a 15 anos,Delfim Moreira,Minas Gerais
35015,08/05/2019,Mais de 70 anos,Casa Nova,Bahia
35040,19/08/2018,Entre 62 a 70 anos,Atibaia,São Paulo
35041,21/12/2020,Mais de 70 anos,Cristiano Otoni,Minas Gerais
35167,31/01/2019,Mais de 70 anos,São Pedro da União,Minas Gerais
35183,31/05/2019,Entre 22 a 27 anos,Barão,Rio Grande do Sul
35231,03/05/2021,Mais de 70 anos,Alecrim,Rio Grande do Sul
35302,13/09/2018,Entre 28 a 36 anos,Nobres,Mato Grosso
35325,06/07/2018,Entre 50 a 61 anos,Ivorá,Rio Grande do Sul
35330,09/12/2019,Mais de 70 anos,Porto Alegre do Tocantins,Tocantins
35390,05/01/2019,Mais de 70 anos,Montes Claros,Minas Gerais
35524,11/01/2021,Entre 50 a 61 anos,Tanabi,São Paulo
35575,21/06/2019,Entre 22 a 27 anos,Capela,Sergipe
35614,25/01/2019,Entre 28 a 36 anos,Gentio do Ouro,Bahia
35656,11/06/2021,Entre 16 a 21 anos,Prado Ferreira,Paraná
35672,07/03/2018,Entre 62 a 70 anos,Tanabi,São Paulo
35700,22/06/2021,Entre 50 a 61 anos,Ubaitaba,Bahia
35715,21/02/2021,Entre 50 a 61 anos,Piritiba,Bahia
35743,23/01/2021,Entre 28 a 36 anos,Tabatinga,Amazonas
35789,10/01/2018,Entre 10 a 15 anos,Massapê do Piauí,Piauí
35834,26/02/2021,Entre 50 a 61 anos,Vitória da Conquista,Bahia
35855,02/11/2019,Entre 37 a 49 anos,Lagoa de Velhos,Rio Grande do Norte
35944,11/05/2019,Mais de 70 anos,Presidente Jânio Quadros,Bahia
36045,03/01/2021,Entre 50 a 61 anos,Jardim Alegre,Paraná
36108,28/01/2019,Entre 22 a 27 anos,Monte Azul Paulista,São Paulo
36160,14/01/2019,Mais de 70 anos,Presidente Castelo Branco,Paraná
36180,29/01/2021,Entre 22 a 27 anos,São Valentim,Rio Grande do Sul
36189,20/05/2020,Entre 50 a 61 anos,Deodápolis,Mato Grosso do Sul
36273,11/05/2021,Entre 28 a 36 anos,Alexânia,Goiás
36280,17/07/2021,Entre 22 a 27 anos,Nova Santa Rita,Piauí
36314,14/04/2021,Entre 22 a 27 anos,Esmeralda,Rio Grande do Sul
36353,26/06/2021,Entre 28 a 36 anos,Boa Ventura de São Roque,Paraná
36354,25/05/2020,Mais de 70 anos,Pajeú do Piauí,Piauí
36376,24/08/2020,Entre 37 a 49 anos,Garrafão do Norte,Pará
36548,03/03/2019,Entre 10 a 15 anos,Nova Resende,Minas Gerais
36601,20/09/2018,Entre 22 a 27 anos,Itaobim,Minas Gerais
36689,17/02/2019,Entre 50 a 61 anos,Caravelas,Bahia
36690,23/04/2021,Entre 28 a 36 anos,Campestre da Serra,Rio Grande do Sul
36702,14/02/2020,Entre 50 a 61 anos,Pracinha,São Paulo
36738,21/04/2020,Entre 28 a 36 anos,Jacareí,São Paulo
36742,17/01/2021,Entre 50 a 61 anos,Novo Horizonte do Norte,Mato Grosso
36771,23/03/2020,Entre 62 a 70 anos,Rio Negro,Mato Grosso do Sul
36783,07/02/2021,Entre 22 a 27 anos,Planalto,Bahia
36874,01/01/2020,Entre 62 a 70 anos,Cruzeiro do Sul,Rio Grande do Sul
36892,21/07/2021,Entre 22 a 27 anos,Mariluz,Paraná
36935,25/05/2021,Entre 28 a 36 anos,Brejões,Bahia
37043,22/04/2018,Entre 37 a 49 anos,Cristal,Rio Grande do Sul
37056,22/01/2020,Entre 50 a 61 anos,Ribeirão Vermelho,Minas Gerais
37116,19/12/2020,Entre 10 a 15 anos,Santa Rita de Jacutinga,Minas Gerais
37127,31/07/2019,Entre 37 a 49 anos,Itarantim,Bahia
37128,30/06/2019,Mais de 70 anos,Demerval Lobão,Piauí
37153,29/03/2021,Mais de 70 anos,Tatuí,São Paulo
37262,13/05/2020,Entre 62 a 70 anos,Saldanha Marinho,Rio Grande do Sul
37290,20/05/2019,Entre 16 a 21 anos,Bacabeira,Maranhão
37331,17/07/2019,Entre 22 a 27 anos,Parobé,Rio Grande do Sul
37393,18/02/2020,Entre 37 a 49 anos,Wagner,Bahia
37435,02/07/2019,Entre 16 a 21 anos,Mundo Novo,Goiás
37476,06/07/2019,Mais de 70 anos,Frei Miguelinho,Pernambuco
37490,22/12/2019,Entre 50 a 61 anos,Pimenteiras,Piauí
37565,02/03/2021,Entre 22 a 27 anos,Eugenópolis,Minas Gerais
37580,22/04/2018,Entre 62 a 70 anos,Caranaíba,Minas Gerais
37584,27/04/2020,Entre 10 a 15 anos,Belo Vale,Minas Gerais
37635,22/12/2018,Entre 37 a 49 anos,Afonso Cunha,Maranhão
37662,27/06/2021,Entre 50 a 61 anos,Cônego Marinho,Minas Gerais
37703,01/02/2019,Entre 16 a 21 anos,Araras,São Paulo
37767,12/07/2019,Mais de 70 anos,Canoas,Rio Grande do Sul
37781,07/02/2020,Entre 62 a 70 anos,Martinópole,Ceará
37898,17/05/2018,Mais de 70 anos,São João de Meriti,Rio de Janeiro
37904,21/02/2019,Mais de 70 anos,Matelândia,Paraná
37905,18/07/2018,Entre 22 a 27 anos,Sant'Ana do Livramento,Rio Grande do Sul
37907,26/10/2019,Entre 10 a 15 anos,Olindina,Bahia
37953,14/03/2021,Entre 22 a 27 anos,Timbó,Santa Catarina
38002,21/07/2021,Entre 62 a 70 anos,Araranguá,Santa Catarina
38031,01/03/2018,Entre 28 a 36 anos,Pedra Grande,Rio Grande do Norte
38113,30/08/2019,Entre 62 a 70 anos,Borba,Amazonas
38116,04/08/2020,Mais de 70 anos,Santana dos Montes,Minas Gerais
38230,29/11/2019,Entre 16 a 21 anos,Vila Rica,Mato Grosso
38243,14/04/2020,Entre 10 a 15 anos,Mostardas,Rio Grande do Sul
38248,03/07/2021,Entre 16 a 21 anos,Rio do Prado,Minas Gerais
38358,01/03/2020,Entre 16 a 21 anos,Ijuí,Rio Grande do Sul
38399,14/05/2018,Entre 16 a 21 anos,Barra do Mendes,Bahia
38414,20/04/2018,Entre 16 a 21 anos,Cândido Rodrigues,São Paulo
38495,14/11/2018,Entre 50 a 61 anos,Areia Branca,Sergipe
38530,08/02/2021,Mais de 70 anos,Bom Retiro do Sul,Rio Grande do Sul
38564,05/05/2021,Entre 50 a 61 anos,Glória do Goitá,Pernambuco
38593,16/07/2021,Entre 28 a 36 anos,Juazeirinho,Paraíba
38658,04/07/2020,Entre 50 a 61 anos,Itajá,Goiás
38779,27/02/2019,Entre 16 a 21 anos,Cidelândia,Maranhão
38819,12/10/2020,Entre 22 a 27 anos,Alto Piquiri,Paraná
38871,16/06/2020,Entre 16 a 21 anos,Campos Altos,Minas Gerais
39036,20/08/2020,Entre 10 a 15 anos,Simões,Piauí
39057,19/03/2021,Entre 50 a 61 anos,Cambira,Paraná
39076,16/11/2019,Mais de 70 anos,São João Nepomuceno,Minas Gerais
39081,14/07/2018,Entre 37 a 49 anos,Água Azul do Norte,Pará
39126,26/02/2019,Entre 22 a 27 anos,Peritiba,Santa Catarina
39239,23/10/2020,Entre 16 a 21 anos,Passa Quatro,Minas Gerais
39250,09/10/2020,Entre 28 a 36 anos,Moreno,Pernambuco
39276,07/05/2020,Mais de 70 anos,Cocalinho,Mato Grosso
39332,31/08/2018,Entre 10 a 15 anos,Carmo do Rio Claro,Minas Gerais
39353,01/05/2021,Entre 50 a 61 anos,Rio Novo,Minas Gerais
39388,20/09/2020,Entre 62 a 70 anos,Lauro de Freitas,Bahia
39493,18/12/2020,Entre 62 a 70 anos,Canavieiras,Bahia
39590,25/08/2018,Entre 28 a 36 anos,Quatro Pontes,Paraná
39596,03/02/2018,Entre 22 a 27 anos,Saúde,Bahia
39619,25/11/2019,Entre 22 a 27 anos,Varjão,Goiás
39635,30/11/2019,Entre 62 a 70 anos,Mirassol d'Oeste,Mato Grosso
39645,11/05/2018,Entre 22 a 27 anos,Goianira,Goiás
39657,29/07/2019,Entre 22 a 27 anos,Cristina,Minas Gerais
39678,10/04/2021,Entre 10 a 15 anos,Marianópolis do Tocantins,Tocantins
39696,25/01/2019,Entre 50 a 61 anos,Campo Belo do Sul,Santa Catarina
39705,03/03/2021,Entre 37 a 49 anos,Porto Alegre,Rio Grande do Sul
39725,20/09/2019,Entre 16 a 21 anos,Heliodora,Minas Gerais
39810,14/02/2018,Entre 16 a 21 anos,Irecê,Bahia
39849,19/02/2020,Entre 16 a 21 anos,Guapirama,Paraná
39866,30/06/2021,Entre 22 a 27 anos,Colombo,Paraná
39881,05/02/2020,Mais de 70 anos,Cruzmaltina,Paraná
39933,09/02/2020,Entre 16 a 21 anos,Francinópolis,Piauí
39994,27/03/2018,Entre 62 a 70 anos,Ilha das Flores,Sergipe
40009,27/07/2020,Entre 16 a 21 anos,Teutônia,Rio Grande do Sul
40109,14/01/2021,Mais de 70 anos,São Gabriel do Oeste,Mato Grosso do Sul
40137,17/12/2019,Entre 16 a 21 anos,Itaúba,Mato Grosso
40147,11/10/2019,Entre 50 a 61 anos,Jacutinga,Minas Gerais
40149,03/02/2021,Mais de 70 anos,Marcelino Ramos,Rio Grande do Sul
40173,12/04/2019,Entre 28 a 36 anos,Chã de Alegria,Pernambuco
40218,06/02/2019,Entre 10 a 15 anos,Penápolis,São Paulo
40244,08/09/2018,Entre 22 a 27 anos,Melgaço,Pará
40268,21/10/2019,Entre 37 a 49 anos,Sarutaiá,São Paulo
40283,23/08/2018,Entre 16 a 21 anos,Itanhangá,Mato Grosso
40305,06/11/2018,Entre 22 a 27 anos,Córrego Fundo,Minas Gerais
40329,10/10/2018,Entre 22 a 27 anos,Ibituruna,Minas Gerais
40343,18/08/2020,Entre 10 a 15 anos,Novo Barreiro,Rio Grande do Sul
40344,20/02/2018,Mais de 70 anos,Barra do Quaraí,Rio Grande do Sul
40349,26/02/2019,Entre 22 a 27 anos,Careiro,Amazonas
40378,11/10/2020,Entre 22 a 27 anos,Nova Canaã do Norte,Mato Grosso
40404,04/07/2019,Entre 62 a 70 anos,Lagamar,Minas Gerais
40410,27/02/2021,Entre 28 a 36 anos,Jupi,Pernambuco
40514,23/06/2021,Entre 37 a 49 anos,Nordestina,Bahia
40540,07/02/2020,Entre 22 a 27 anos,Serrolândia,Bahia
40558,21/08/2020,Entre 37 a 49 anos,Alto Alegre do Pindaré,Maranhão
40588,25/02/2018,Entre 16 a 21 anos,Luiziânia,São Paulo
40615,12/04/2021,Entre 16 a 21 anos,Tarumirim,Minas Gerais
40633,24/02/2020,Entre 28 a 36 anos,Araguaína,Tocantins
40660,08/05/2020,Entre 50 a 61 anos,Ourém,Pará
40679,01/11/2018,Entre 37 a 49 anos,Silva Jardim,Rio de Janeiro
40733,12/07/2021,Entre 50 a 61 anos,São João do Araguaia,Pará
40776,26/07/2020,Mais de 70 anos,Vitória do Xingu,Pará
40842,11/01/2020,Entre 50 a 61 anos,Campina do Monte Alegre,São Paulo
40885,25/04/2019,Mais de 70 anos,Araguaiana,Mato Grosso
40954,24/06/2021,Entre 10 a 15 anos,Serrita,Pernambuco
40986,23/09/2018,Entre 16 a 21 anos,Vila Boa,Goiás
41001,11/01/2018,Entre 50 a 61 anos,Crateús,Ceará
41032,20/10/2020,Entre 62 a 70 anos,Parauapebas,Pará
41033,28/12/2019,Entre 16 a 21 anos,Afonso Cunha,Maranhão
41037,08/02/2020,Entre 22 a 27 anos,Borborema,São Paulo
41128,11/06/2021,Entre 22 a 27 anos,Licínio de Almeida,Bahia
41257,09/01/2021,Entre 22 a 27 anos,Luiziânia,São Paulo
41275,06/11/2019,Entre 50 a 61 anos,Tremedal,Bahia
41299,12/02/2019,Entre 50 a 61 anos,São José do Divino,Minas Gerais
41337,19/05/2019,Entre 37 a 49 anos,Sabáudia,Paraná
41339,01/11/2018,Entre 22 a 27 anos,Campinápolis,Mato Grosso
41361,31/05/2019,Entre 37 a 49 anos,Flor da Serra do Sul,Paraná
41409,30/05/2021,Entre 28 a 36 anos,Carnaubeira da Penha,Pernambuco
41546,14/01/2021,Entre 10 a 15 anos,Presidente Epitácio,São Paulo
41627,05/10/2019,Entre 62 a 70 anos,Miranorte,Tocantins
41658,29/05/2021,Mais de 70 anos,Nova Andradina,Mato Grosso do Sul
41788,13/09/2019,Entre 16 a 21 anos,Capivari,São Paulo
41799,17/08/2019,Entre 22 a 27 anos,Coronel Pilar,Rio Grande do Sul
41835,11/10/2020,Entre 50 a 61 anos,Maxaranguape,Rio Grande do Norte
41930,22/12/2018,Entre 62 a 70 anos,Romaria,Minas Gerais
41965,21/09/2019,Entre 28 a 36 anos,Heliópolis,Bahia
41972,30/10/2018,Entre 16 a 21 anos,Xambrê,Paraná
41996,10/11/2019,Entre 22 a 27 anos,Nova Olinda do Norte,Amazonas
42121,24/05/2020,Entre 16 a 21 anos,Salitre,Ceará
42209,02/06/2021,Mais de 70 anos,Andrelândia,Minas Gerais
42252,03/03/2019,Entre 16 a 21 anos,Itaguaçu da Bahia,Bahia
42375,07/05/2021,Mais de 70 anos,Santana de Mangueira,Paraíba
42577,06/02/2018,Entre 16 a 21 anos,Pedrinhas Paulista,São Paulo
42580,12/03/2020,Entre 37 a 49 anos,Lobato,Paraná
42625,09/07/2018,Mais de 70 anos,Osasco,São Paulo
42642,04/10/2019,Entre 37 a 49 anos,Palestina,São Paulo
42657,17/08/2018,Entre 28 a 36 anos,Jaciara,Mato Grosso
42695,17/05/2021,Entre 16 a 21 anos,Macatuba,São Paulo
42790,14/12/2020,Mais de 70 anos,Nova Bassano,Rio Grande do Sul
42797,11/11/2020,Entre 62 a 70 anos,Cristais,Minas Gerais
42802,02/01/2018,Entre 50 a 61 anos,Guimarânia,Minas Gerais
42826,17/06/2021,Mais de 70 anos,Pedra,Pernambuco
42911,02/01/2020,Entre 22 a 27 anos,Congonhinhas,Paraná
42918,06/07/2020,Entre 50 a 61 anos,Taquaraçu de Minas,Minas Gerais
43015,11/04/2020,Entre 22 a 27 anos,Palmeira,Paraná
43018,10/01/2019,Mais de 70 anos,Bonito,Bahia
43020,15/02/2021,Entre 50 a 61 anos,Turvo,Santa Catarina
43045,06/12/2020,Entre 62 a 70 anos,Itatim,Bahia
43061,20/02/2018,Entre 22 a 27 anos,Ibirá,São Paulo
43211,02/01/2020,Entre 50 a 61 anos,Ibicuí,Bahia
43305,06/04/2021,Mais de 70 anos,Matinha,Maranhão
43355,28/01/2018,Entre 50 a 61 anos,Porto Calvo,Alagoas
43378,07/10/2019,Entre 16 a 21 anos,Sumaré,São Paulo
43525,28/05/2021,Entre 22 a 27 anos,Belém,Pará
43562,02/09/2019,Entre 22 a 27 anos,Almenara,Minas Gerais
43613,20/09/2018,Entre 62 a 70 anos,Pau dos Ferros,Rio Grande do Norte
43636,10/08/2019,Entre 28 a 36 anos,Fruta de Leite,Minas Gerais
43639,09/11/2020,Entre 50 a 61 anos,Apiúna,Santa Catarina
43669,20/05/2021,Entre 62 a 70 anos,Miraselva,Paraná
43696,25/02/2021,Mais de 70 anos,Pequizeiro,Tocantins
43725,21/06/2021,Entre 28 a 36 anos,Itaporã do Tocantins,Tocantins
43729,13/03/2021,Mais de 70 anos,Lindoeste,Paraná
43780,09/02/2018,Entre 37 a 49 anos,Paranaíba,Mato Grosso do Sul
43854,07/02/2018,Entre 10 a 15 anos,Paes Landim,Piauí
43889,08/07/2019,Entre 28 a 36 anos,Japaratuba,Sergipe
43894,16/02/2019,Entre 37 a 49 anos,Cumaru do Norte,Pará
43917,06/03/2018,Entre 10 a 15 anos,Bragança,Pará
43969,16/03/2019,Entre 10 a 15 anos,Paranã,Tocantins
43993,22/06/2021,Entre 37 a 49 anos,Araruna,Paraná
44035,04/12/2018,Mais de 70 anos,Gentio do Ouro,Bahia
44045,04/03/2021,Entre 22 a 27 anos,Inhaúma,Minas Gerais
44047,31/07/2021,Entre 62 a 70 anos,Brazabrantes,Goiás
44126,25/11/2019,Entre 10 a 15 anos,Quartel Geral,Minas Gerais
44129,09/05/2021,Entre 10 a 15 anos,Cabo Verde,Minas Gerais
44180,25/02/2019,Entre 62 a 70 anos,Antônio Prado,Rio Grande do Sul
44183,14/10/2020,Entre 16 a 21 anos,Sumaré,São Paulo
44271,02/03/2020,Entre 62 a 70 anos,Ubaporanga,Minas Gerais
44283,03/02/2021,Entre 50 a 61 anos,Benevides,Pará
44311,17/05/2020,Entre 37 a 49 anos,Pedra Preta,Mato Grosso
44521,27/06/2019,Entre 37 a 49 anos,Fronteira dos Vales,Minas Gerais
44635,19/08/2019,Entre 37 a 49 anos,Colorado,Rio Grande do Sul
44638,22/06/2019,Entre 28 a 36 anos,Cerejeiras,Rondônia
44723,09/05/2019,Mais de 70 anos,Santa Maria do Herval,Rio Grande do Sul
44780,29/03/2021,Entre 50 a 61 anos,Lima Campos,Maranhão
44911,03/08/2019,Entre 22 a 27 anos,Major Vieira,Santa Catarina
44931,12/11/2019,Entre 62 a 70 anos,Perdigão,Minas Gerais
44961,09/11/2019,Mais de 70 anos,Toledo,Minas Gerais
44998,10/10/2018,Entre 62 a 70 anos,Pinhão,Paraná
45085,18/07/2019,Entre 10 a 15 anos,Lebon Régis,Santa Catarina
45100,18/02/2020,Entre 22 a 27 anos,Ibiraiaras,Rio Grande do Sul
45163,16/07/2021,Entre 62 a 70 anos,Santa Maria,Rio Grande do Norte
45205,09/03/2021,Entre 62 a 70 anos,Inhangapi,Pará
45244,09/07/2021,Entre 22 a 27 anos,Jordânia,Minas Gerais
45273,21/06/2021,Entre 22 a 27 anos,Guaratinga,Bahia
45337,12/07/2020,Entre 62 a 70 anos,Campina das Missões,Rio Grande do Sul
45359,27/06/2018,Entre 50 a 61 anos,Estreito,Maranhão
45374,25/04/2021,Entre 28 a 36 anos,Senador Amaral,Minas Gerais
45393,19/01/2021,Entre 16 a 21 anos,Amarante do Maranhão,Maranhão
45497,19/01/2019,Entre 62 a 70 anos,Bonfinópolis de Minas,Minas Gerais
45564,01/08/2018,Mais de 70 anos,Lagoa,Paraíba
45768,16/07/2020,Entre 28 a 36 anos,São Félix do Piauí,Piauí
45794,27/01/2021,Entre 22 a 27 anos,Aguiarnópolis,Tocantins
45808,28/02/2021,Entre 28 a 36 anos,Guaribas,Piauí
45816,13/01/2020,Mais de 70 anos,Arvoredo,Santa Catarina
45834,08/05/2020,Mais de 70 anos,Fazenda Nova,Goiás
45906,18/04/2018,Entre 10 a 15 anos,Diamantino,Mato Grosso
45931,20/02/2021,Entre 50 a 61 anos,Machadinho D'Oeste,Rondônia
45998,23/05/2019,Entre 50 a 61 anos,Linha Nova,Rio Grande do Sul
46216,03/05/2021,Entre 10 a 15 anos,Afogados da Ingazeira,Pernambuco
46226,05/05/2021,Entre 50 a 61 anos,Doutor Ricardo,Rio Grande do Sul
46296,15/01/2019,Entre 37 a 49 anos,Capinópolis,Minas Gerais
46308,23/06/2018,Entre 62 a 70 anos,Mandaguaçu,Paraná
46357,24/05/2021,Entre 37 a 49 anos,Ilha das Flores,Sergipe
46366,01/07/2021,Entre 37 a 49 anos,Lutécia,São Paulo
46379,28/07/2020,Entre 16 a 21 anos,Turuçu,Rio Grande do Sul
46527,26/11/2018,Entre 50 a 61 anos,Alfredo Vasconcelos,Minas Gerais
46559,04/03/2021,Entre 62 a 70 anos,Varjota,Ceará
46639,05/12/2019,Mais de 70 anos,Guaratuba,Paraná
46660,08/05/2020,Entre 37 a 49 anos,Curuçá,Pará
46667,05/08/2018,Entre 16 a 21 anos,Bento Fernandes,Rio Grande do Norte
46722,15/09/2020,Mais de 70 anos,Padre Bernardo,Goiás
46724,05/06/2021,Entre 50 a 61 anos,Mirador,Paraná
46752,24/02/2020,Entre 10 a 15 anos,Serra Grande,Paraíba
46826,09/04/2019,Entre 16 a 21 anos,Sananduva,Rio Grande do Sul
46841,17/10/2020,Entre 28 a 36 anos,Francisco Morato,São Paulo
46858,29/12/2019,Entre 37 a 49 anos,Pau D'Arco,Tocantins
46927,15/07/2018,Entre 50 a 61 anos,Nova Santa Rosa,Paraná
46944,17/07/2021,Entre 10 a 15 anos,Agudo,Rio Grande do Sul
46988,04/09/2020,Entre 28 a 36 anos,São Miguel de Taipu,Paraíba
47077,27/07/2018,Entre 22 a 27 anos,Ajuricaba,Rio Grande do Sul
47153,27/04/2021,Entre 28 a 36 anos,Faina,Goiás
47233,05/03/2019,Mais de 70 anos,Filadélfia,Tocantins
47260,01/10/2020,Entre 16 a 21 anos,Novo Gama,Goiás
47355,23/11/2020,Entre 22 a 27 anos,Estrela,Rio Grande do Sul
47364,10/11/2020,Entre 10 a 15 anos,Cajari,Maranhão
47395,19/02/2020,Entre 28 a 36 anos,Niterói,Rio de Janeiro
47507,30/04/2020,Entre 22 a 27 anos,Munhoz de Melo,Paraná
47514,17/12/2020,Entre 37 a 49 anos,Chiador,Minas Gerais
47660,12/07/2020,Mais de 70 anos,Matrinchã,Goiás
47729,25/03/2019,Entre 16 a 21 anos,Araguanã,Tocantins
47780,16/02/2019,Entre 37 a 49 anos,Umarizal,Rio Grande do Norte
47798,06/08/2018,Entre 37 a 49 anos,Ipiaçu,Minas Gerais
47867,10/02/2019,Entre 16 a 21 anos,São João do Sul,Santa Catarina
47909,23/07/2019,Entre 16 a 21 anos,Canoas,Rio Grande do Sul
47983,23/06/2019,Mais de 70 anos,Tupanciretã,Rio Grande do Sul
48012,31/03/2019,Entre 10 a 15 anos,Aragoiânia,Goiás
48018,30/05/2021,Entre 50 a 61 anos,Chapadão do Sul,Mato Grosso do Sul
48024,04/12/2020,Entre 37 a 49 anos,Joselândia,Maranhão
48107,29/09/2020,Entre 10 a 15 anos,São Bonifácio,Santa Catarina
48183,25/02/2018,Entre 62 a 70 anos,Bom Jesus,Piauí
48216,14/12/2020,Entre 16 a 21 anos,Dom Joaquim,Minas Gerais
48286,13/12/2019,Entre 22 a 27 anos,Congonhinhas,Paraná
48289,27/04/2018,Entre 62 a 70 anos,Barra dos Coqueiros,Sergipe
48429,11/10/2019,Entre 37 a 49 anos,Ibiam,Santa Catarina
48449,19/04/2020,Entre 28 a 36 anos,Itapetim,Pernambuco
48491,18/06/2019,Entre 16 a 21 anos,São Vicente do Seridó,Paraíba
48519,01/09/2018,Entre 22 a 27 anos,Caturité,Paraíba
48562,12/05/2020,Entre 37 a 49 anos,Aperibé,Rio de Janeiro
48661,16/09/2020,Entre 10 a 15 anos,Umbuzeiro,Paraíba
48679,05/04/2018,Entre 16 a 21 anos,Cruz,Ceará
48753,09/08/2019,Mais de 70 anos,Arceburgo,Minas Gerais
48845,10/11/2020,Entre 16 a 21 anos,Alexânia,Goiás
48862,21/01/2021,Entre 22 a 27 anos,Antônio Martins,Rio Grande do Norte
48923,01/02/2019,Entre 28 a 36 anos,Rubelita,Minas Gerais
48929,01/02/2019,Entre 50 a 61 anos,São José dos Campos,São Paulo
48943,22/02/2020,Entre 50 a 61 anos,Araporã,Minas Gerais
48978,23/04/2021,Entre 37 a 49 anos,Simão Dias,Sergipe
49044,08/05/2020,Entre 10 a 15 anos,Campo Bom,Rio Grande do Sul
49115,18/10/2018,Entre 28 a 36 anos,Areia de Baraúnas,Paraíba
49171,26/02/2020,Entre 28 a 36 anos,Passagem Franca do Piauí,Piauí
49241,07/02/2019,Entre 16 a 21 anos,Santo Antônio de Lisboa,Piauí
49295,12/05/2019,Entre 37 a 49 anos,Buerarema,Bahia
49349,19/12/2019,Entre 50 a 61 anos,Mafra,Santa Catarina
49365,19/09/2018,Entre 62 a 70 anos,Guaíba,Rio Grande do Sul
49384,05/07/2018,Entre 37 a 49 anos,São Bernardo do Campo,São Paulo
49497,25/05/2021,Entre 28 a 36 anos,Felício dos Santos,Minas Gerais
49534,25/07/2019,Entre 28 a 36 anos,Dois Irmãos do Buriti,Mato Grosso do Sul
49570,22/03/2021,Entre 50 a 61 anos,São José da Vitória,Bahia
49619,16/07/2018,Entre 16 a 21 anos,Hortolândia,São Paulo
49670,14/03/2020,Entre 37 a 49 anos,Sagrada Família,Rio Grande do Sul
49684,08/10/2020,Entre 62 a 70 anos,Jucás,Ceará
49703,20/04/2020,Entre 16 a 21 anos,Água Doce do Norte,Espírito Santo
49725,20/08/2018,Entre 50 a 61 anos,Nazarezinho,Paraíba
49826,28/07/2020,Entre 62 a 70 anos,Alumínio,São Paulo
49829,03/09/2018,Entre 16 a 21 anos,Iporá,Goiás
49895,28/05/2019,Entre 10 a 15 anos,Novo Xingu,Rio Grande do Sul
49936,08/08/2019,Entre 16 a 21 anos,Camalaú,Paraíba
49989,04/01/2019,Entre 50 a 61 anos,Janduís,Rio Grande do Norte
50038,28/08/2020,Entre 16 a 21 anos,Macedônia,São Paulo
50071,19/06/2021,Entre 50 a 61 anos,Criciúma,Santa Catarina
50076,26/07/2018,Entre 37 a 49 anos,Formoso,Minas Gerais
50170,28/11/2018,Entre 50 a 61 anos,Brejinho,Rio Grande do Norte
50207,28/01/2020,Entre 37 a 49 anos,Mirante da Serra,Rondônia
50393,27/09/2018,Entre 22 a 27 anos,Lagoa Formosa,Minas Gerais
50473,30/08/2018,Entre 22 a 27 anos,Presidente Prudente,São Paulo
50509,27/09/2020,Entre 28 a 36 anos,Mata,Rio Grande do Sul
50535,05/07/2018,Entre 37 a 49 anos,Boqueirão do Leão,Rio Grande do Sul
50561,29/05/2018,Entre 50 a 61 anos,Ouro Fino,Minas Gerais
50565,12/12/2018,Mais de 70 anos,Camaçari,Bahia
50588,26/05/2018,Entre 62 a 70 anos,Castanhal,Pará
50732,18/04/2021,Mais de 70 anos,Santaluz,Bahia
50807,11/04/2020,Entre 16 a 21 anos,Pedro Laurentino,Piauí
50845,11/05/2018,Entre 28 a 36 anos,Irecê,Bahia
50846,25/10/2018,Entre 28 a 36 anos,Nova Santa Helena,Mato Grosso
50939,13/09/2019,Mais de 70 anos,Francisco Macedo,Piauí
50948,16/12/2020,Mais de 70 anos,Angélica,Mato Grosso do Sul
51030,29/01/2019,Mais de 70 anos,Pirajuba,Minas Gerais
51052,19/03/2019,Entre 22 a 27 anos,Bandeirante,Santa Catarina
51192,25/05/2021,Entre 50 a 61 anos,Porciúncula,Rio de Janeiro
51279,21/06/2018,Entre 50 a 61 anos,Arujá,São Paulo
51308,18/02/2019,Entre 22 a 27 anos,São José do Seridó,Rio Grande do Norte
51353,25/07/2021,Entre 16 a 21 anos,Presidente Sarney,Maranhão
51398,24/04/2020,Entre 62 a 70 anos,Esperança,Paraíba
51510,03/01/2020,Entre 50 a 61 anos,São José do Belmonte,Pernambuco
51512,11/04/2018,Entre 16 a 21 anos,Caraúbas,Rio Grande do Norte
51529,17/07/2019,Entre 50 a 61 anos,Senador La Rocque,Maranhão
51553,19/04/2019,Entre 62 a 70 anos,Cajuru,São Paulo
51594,05/05/2019,Entre 62 a 70 anos,Chapadão do Lageado,Santa Catarina
51657,07/08/2018,Entre 50 a 61 anos,Fartura,São Paulo
51663,28/05/2021,Entre 22 a 27 anos,Formosa do Sul,Santa Catarina
51668,19/01/2021,Entre 50 a 61 anos,Progresso,Rio Grande do Sul
51704,29/05/2019,Entre 16 a 21 anos,Quixabeira,Bahia
51710,28/11/2018,Entre 62 a 70 anos,Mato Rico,Paraná
51758,02/05/2021,Entre 10 a 15 anos,Oiapoque,Amapá
